TermAndYearTaken,Year,DRNO,TIMEOCC,LOCATION
Southeast,BURGLARY,141816083,1800,  700      W  156TH                        ST
Southeast,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",141816098,1000,13400      S  FIGUEROA                     ST
Southeast,BURGLARY,141816112,2000, 1500      E  111TH                        ST
Mission,ROBBERY,141901026,1430, 8400         VAN NUYS                     BL
Mission,CRUELTY TO ANIMALS,141901027,1120,13600         ELDRIDGE                     AV
Mission,BURGLARY,141901034,2300,13800         PIERCE                       ST
Mission,TRAFFIC DR #,141917660,630,              ARMINTA                      ST
Mission,ROBBERY,141917663,1005, 9700         WOODMAN                      AV
Mission,TRAFFIC DR #,141917664,815,              WOODMAN                      AV
Mission,TRAFFIC DR #,141917668,700,              FOOTHILL                     BL
Mission,TRAFFIC DR #,141917671,1810,              VAN NUYS                     BL
